Student_ID,Gender,Study_Hours,Attendance,Previous_Scores,Sleep_Hours,Internet_Usage,Final_Score
S053,Male,6.4,67.3,87.2,6.6,7.9,57.5
S054,Male,3.3,85.4,40.1,9.6,4.8,44.3
S055,Male,4.3,53.5,79.9,6.0,3.2,58.2
S056,Female,5.6,83.3,59.6,8.2,4.9,52.4
S057,Female,7.1,95.1,76.9,5.8,4.8,63.2
S058,Female,2.9,89.3,76.4,5.9,4.1,56.9
S059,Female,8.1,98.0,84.2,8.0,3.0,79.6
S060,Female,1.8,97.6,54.1,5.9,6.6,38.1
S061,Male,3.2,73.8,91.0,4.4,3.9,59.6
S062,Male,7.5,69.2,64.0,4.9,5.8,61.4
S063,Male,8.0,60.9,88.2,8.2,4.3,71.0
S064,Male,5.1,90.1,80.1,9.9,5.2,68.6
S065,Female,6.5,86.0,70.3,9.0,4.8,67.5
S066,Female,5.1,87.6,90.4,5.7,6.4,64.0
S067,Male,3.5,53.9,57.1,5.6,3.2,43.5
S068,Male,2.4,69.2,49.2,5.3,3.9,37.0
S069,Female,4.7,60.3,65.2,9.4,5.1,52.8
S070,Female,5.3,97.1,57.9,6.3,7.2,56.3
S071,Male,5.4,63.6,69.1,6.3,5.7,55.9
S072,Male,8.6,96.0,98.8,7.2,7.3,80.3
S073,Male,1.8,71.4,92.0,5.1,2.8,53.9
S074,Female,3.9,88.1,62.7,8.5,6.8,48.0
S075,Male,5.2,87.5,43.1,9.7,2.6,47.8
S076,Male,7.8,97.5,52.0,4.1,2.1,59.5
S077,Male,6.1,60.9,82.0,8.6,2.2,66.0
S078,Male,8.0,58.2,58.7,7.5,7.5,54.6
S079,Female,4.6,85.8,44.6,8.1,5.4,42.4
S080,Female,8.7,80.0,47.3,9.9,6.5,56.6
S081,Female,7.0,53.4,78.9,4.1,3.9,60.5
S082,Female,9.6,81.8,89.7,8.2,4.0,82.7
S083,Female,6.5,96.0,86.5,6.8,6.8,69.5
S084,Female,8.7,91.5,45.2,9.3,2.7,63.5
S085,Female,4.0,74.7,59.5,6.9,3.5,47.6
S086,Female,8.9,85.1,56.6,4.1,7.6,55.1
S087,Female,5.4,87.9,81.4,7.9,4.4,67.9
S088,Male,3.6,70.2,54.6,8.0,3.6,46.9
S089,Female,4.8,87.3,59.8,8.2,2.9,53.9
S090,Male,7.5,65.8,84.6,9.7,5.8,64.3
S091,Female,3.5,79.5,85.6,7.6,7.9,58.3
S092,Female,3.0,59.0,40.8,7.2,2.9,42.0
S093,Female,7.3,56.3,92.1,6.9,7.1,65.7
S094,Female,5.3,67.0,97.9,5.5,7.0,59.0
S095,Male,4.6,53.7,77.8,4.3,2.0,56.0
S096,Female,1.8,62.4,73.5,6.5,5.2,45.5
S097,Female,5.1,72.1,91.6,9.9,3.1,68.8
S098,Male,9.5,60.4,52.7,8.0,2.1,59.9
S099,Male,2.4,70.4,81.4,6.8,1.2,53.7
S100,Female,7.3,72.7,81.2,9.5,6.5,67.1
S101,Male,4.8,77.2,78.9,9.5,6.8,53.7
S102,Male,8.1,79.8,89.5,9.5,4.1,75.6
S103,Female,7.3,97.1,70.0,7.0,1.6,66.3
S104,Female,7.6,80.2,41.6,5.4,5.7,54.9
S105,Male,10.0,83.6,56.2,4.2,6.3,63.4
S106,Female,9.2,59.1,75.1,7.8,4.4,64.0
S107,Female,4.7,66.1,46.3,5.0,3.9,43.6
S108,Female,8.3,77.5,67.3,5.9,3.3,71.0
S109,Female,8.8,91.2,40.1,9.2,4.2,55.8
S110,Female,6.6,74.9,66.5,4.3,2.9,56.4
S111,Female,4.9,84.9,47.3,9.8,5.3,46.5
S112,Male,3.8,50.7,64.5,5.3,6.9,37.8
S113,Male,6.8,57.7,96.0,5.8,5.9,65.3
S114,Female,9.8,62.2,73.1,6.3,7.5,65.3
S115,Male,8.8,63.8,87.4,6.5,7.5,68.4
S116,Male,3.5,64.9,75.2,10.0,4.4,49.8
S117,Female,4.1,77.6,72.6,6.7,3.3,53.1
S118,Male,6.1,61.7,86.5,4.3,6.2,62.0
S119,Female,4.5,83.2,89.2,9.9,4.5,60.7
S120,Female,8.8,93.7,66.4,7.2,4.2,72.5
S121,Female,8.8,98.5,44.5,8.7,2.9,66.0
S122,Female,6.8,92.6,91.1,9.2,3.7,73.7
S123,Female,8.9,51.8,44.1,7.8,7.4,54.7
S124,Male,4.9,54.9,78.0,9.2,4.1,58.5
S125,Male,1.4,89.8,57.6,6.2,2.0,46.2
S126,Male,2.5,53.9,92.3,7.7,2.7,59.9
S127,Male,3.1,81.9,67.6,8.0,7.3,47.6
S128,Female,7.1,57.9,66.5,6.1,5.1,57.8
S129,Female,7.2,72.8,58.1,10.0,7.0,52.1
S130,Female,6.1,78.7,99.6,5.8,7.8,69.0
S131,Female,1.1,93.3,86.7,9.8,7.4,55.1
S132,Female,8.0,61.5,88.1,5.3,2.3,68.9
S133,Male,6.7,95.2,78.8,5.9,4.1,69.5
S134,Male,1.8,64.8,84.8,5.1,1.9,52.9
S135,Female,5.8,95.7,89.8,5.5,6.8,66.9
S136,Female,7.7,66.9,46.9,9.8,2.0,62.4
S137,Female,9.7,90.2,61.9,8.7,1.1,75.3
S138,Female,4.3,87.5,55.7,6.3,5.5,47.9
S139,Male,5.2,81.0,96.6,6.0,5.3,68.6
S140,Female,9.2,65.1,64.5,4.8,7.6,57.7
S141,Female,2.0,61.7,72.3,6.3,3.6,50.6
S142,Female,6.3,86.3,93.1,7.9,6.8,70.3
S143,Female,1.3,68.5,66.6,9.7,7.0,36.7
S144,Female,5.9,98.9,61.5,6.4,2.3,58.7
S145,Female,1.8,60.6,78.4,9.8,1.4,50.4
S146,Male,8.1,60.3,89.8,7.3,5.1,72.9
S147,Male,4.0,57.4,94.0,4.0,7.0,51.1
S148,Male,5.9,89.9,46.6,9.2,1.9,55.2
S149,Male,6.3,50.8,55.9,4.8,3.9,45.3
S150,Male,5.3,88.9,70.8,4.7,4.5,63.4
